# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
5.000000000000000E+09;-8.006568737124630E+01;-1.492787410113678E+02;
5.007500000000000E+09;-7.984201440141453E+01;3.256045363310654E+01;
5.015000000000000E+09;-8.033208547608331E+01;-1.391824044840112E+02;
5.022500000000000E+09;-7.979731825934289E+01;5.011952709523667E+01;
5.030000000000000E+09;-7.982203032274469E+01;-1.248029252640700E+02;
5.037500000000000E+09;-7.996662444380978E+01;6.441149877325859E+01;
5.045000000000000E+09;-7.988913364352946E+01;-1.128362474649834E+02;
5.052500000000000E+09;-7.957720350877916E+01;7.157109426250386E+01;
5.060000000000000E+09;-7.967437742326437E+01;-1.013655173102684E+02;
5.067500000000000E+09;-8.049873269692270E+01;8.359791857436699E+01;
5.075000000000000E+09;-8.008626975771253E+01;-8.664194753147947E+01;
5.082500000000000E+09;-7.992799499244401E+01;9.811943742032700E+01;
5.090000000000000E+09;-8.043412371738333E+01;-7.491188421754906E+01;
5.097500000000000E+09;-8.115153633936822E+01;1.106075480426396E+02;
5.105000000000000E+09;-8.059079732803357E+01;-6.163521392685087E+01;
5.112500000000000E+09;-7.985818812759832E+01;1.233973348723510E+02;
5.120000000000000E+09;-8.044203703943299E+01;-5.110526834109078E+01;
5.127500000000000E+09;-7.999564302087255E+01;1.309797217075114E+02;
5.135000000000000E+09;-8.043384348800488E+01;-4.198967938114929E+01;
5.142500000000000E+09;-8.034605852526319E+01;1.458432691785945E+02;
5.150000000000000E+09;-8.075871253812014E+01;-2.983296160121285E+01;
5.157500000000000E+09;-8.126398995939374E+01;1.604206098331142E+02;
5.165000000000000E+09;-8.065346988887570E+01;-1.531453373780895E+01;
5.172500000000000E+09;-8.072291594272198E+01;1.752113861493681E+02;
5.180000000000000E+09;-8.048947517807433E+01;-1.341245518127294E+00;
5.187500000000000E+09;-8.093849935276356E+01;-1.765975663544266E+02;
5.195000000000000E+09;-8.083114656064674E+01;9.157745724751633E+00;
5.202500000000000E+09;-8.092600705139478E+01;-1.698140670894043E+02;
5.210000000000000E+09;-8.030448184806406E+01;1.842498897257412E+01;
5.217500000000000E+09;-8.101657547764609E+01;-1.564554720855079E+02;
5.225000000000000E+09;-8.129072051749966E+01;2.983319827188786E+01;
5.232500000000000E+09;-8.086904523726258E+01;-1.415336521255115E+02;
5.240000000000000E+09;-8.016628681596460E+01;4.358180400202954E+01;
5.247500000000000E+09;-8.160548316431954E+01;-1.308554603459507E+02;
5.255000000000000E+09;-8.165169028120793E+01;5.418793527761546E+01;
5.262500000000000E+09;-8.091506443306432E+01;-1.202188559601166E+02;
5.270000000000000E+09;-8.177868311863509E+01;6.812983196460813E+01;
5.277500000000000E+09;-8.084311782010018E+01;-1.084694146631991E+02;
5.285000000000000E+09;-8.118798187273168E+01;8.073688839622255E+01;
5.292500000000000E+09;-8.146888945399687E+01;-9.491683572392351E+01;
5.300000000000000E+09;-8.175843324247222E+01;9.087903074669285E+01;
5.307500000000000E+09;-8.121848720521946E+01;-8.553430629174365E+01;
5.315000000000000E+09;-8.176811509021532E+01;1.048592348031212E+02;
5.322500000000000E+09;-8.148191801715022E+01;-7.234856989293580E+01;
5.330000000000000E+09;-8.125623619178012E+01;1.098102607576386E+02;
5.337500000000000E+09;-8.072464458894460E+01;-6.119964876575356E+01;
5.345000000000000E+09;-8.090260744318471E+01;1.279043622741497E+02;
5.352500000000000E+09;-8.171690702075077E+01;-4.947133961435581E+01;
5.360000000000000E+09;-8.050472690717376E+01;1.399482303215877E+02;
5.367500000000000E+09;-8.168071033720818E+01;-2.912482354731236E+01;
5.375000000000000E+09;-8.047938464354107E+01;1.518820317581902E+02;
5.382500000000000E+09;-8.140690235128064E+01;-2.191442828787467E+01;
5.390000000000000E+09;-8.164460580019004E+01;1.622987343594269E+02;
5.397500000000000E+09;-8.162921518219848E+01;-1.018094885307205E+01;
5.405000000000000E+09;-8.069840592880828E+01;1.720140725884822E+02;
5.412500000000000E+09;-8.098411765962480E+01;2.368765067351103E+00;
5.420000000000000E+09;-8.124798182664892E+01;-1.732950411027025E+02;
5.427500000000000E+09;-8.039753398365232E+01;1.227655554146754E+01;
5.435000000000000E+09;-8.108113164324737E+01;-1.632892913636779E+02;
5.442500000000000E+09;-8.137032292235284E+01;2.280896045676351E+01;
5.450000000000000E+09;-8.053935956581219E+01;-1.550791351925973E+02;
5.457500000000000E+09;-8.153350117659565E+01;3.421256052343701E+01;
5.465000000000000E+09;-8.148166779184072E+01;-1.429182300607193E+02;
5.472500000000000E+09;-8.167435139930426E+01;4.139966716426545E+01;
5.480000000000000E+09;-8.111940999045535E+01;-1.313611540597696E+02;
5.487500000000000E+09;-8.112980656946669E+01;5.469882312656657E+01;
5.495000000000000E+09;-8.134971752906642E+01;-1.226717957021720E+02;
5.502500000000000E+09;-8.083512071163747E+01;5.979804320805295E+01;
5.510000000000000E+09;-8.153580329130162E+01;-1.109469132534258E+02;
5.517500000000000E+09;-8.126041226884203E+01;6.931581376676006E+01;
5.525000000000000E+09;-8.200088917507237E+01;-1.075502134580016E+02;
5.532500000000000E+09;-8.143606493334514E+01;7.760524288160003E+01;
5.540000000000000E+09;-8.208235017697911E+01;-1.004054217093776E+02;
5.547500000000000E+09;-8.277638477519611E+01;8.011538651515150E+01;
5.555000000000000E+09;-8.244805057361916E+01;-9.249777950500611E+01;
5.562500000000000E+09;-8.245065120910755E+01;7.774926926234296E+01;
5.570000000000000E+09;-8.472038777690457E+01;-1.058542742600414E+02;
5.577500000000000E+09;-8.560806112522710E+01;6.702507239221448E+01;
5.585000000000000E+09;-8.570991238530510E+01;-1.300588665669334E+02;
5.592500000000000E+09;-8.164721533542857E+01;1.513191867437560E+01;
5.600000000000000E+09;-7.219763871684752E+01;1.479322945752303E+02;
5.607500000000000E+09;-7.103575475762707E+01;-1.335202790788617E+02;
5.615000000000000E+09;-7.587237103642080E+01;2.711721690848002E+01;
5.622500000000000E+09;-7.759347397095681E+01;-1.569781210247349E+02;
5.630000000000000E+09;-7.833234308964710E+01;2.205403278532937E+01;
5.637500000000000E+09;-7.933296407323125E+01;-1.531100243867273E+02;
5.645000000000000E+09;-7.958217082823060E+01;2.497044748324481E+01;
5.652500000000000E+09;-8.012671697833647E+01;-1.461421900522136E+02;
5.660000000000000E+09;-7.970130636017464E+01;3.772641052154625E+01;
5.667500000000000E+09;-7.986407309779266E+01;-1.400420948583057E+02;
5.675000000000000E+09;-7.996962669622658E+01;4.809692921954022E+01;
5.682500000000000E+09;-8.031524322645740E+01;-1.268597919021989E+02;
5.690000000000000E+09;-8.051568484147624E+01;6.274062595978442E+01;
5.697500000000000E+09;-8.007258286177326E+01;-1.140938314496427E+02;
5.705000000000000E+09;-8.011078092381140E+01;7.065409080990922E+01;
5.712500000000000E+09;-8.032075465352811E+01;-1.044565687501361E+02;
5.720000000000000E+09;-8.118293236424844E+01;8.276815838095952E+01;
5.727500000000000E+09;-8.006439804976536E+01;-9.309604931247758E+01;
5.735000000000000E+09;-8.023170032143202E+01;9.109958908648328E+01;
5.742500000000000E+09;-8.029249469392097E+01;-8.128315097861902E+01;
5.750000000000000E+09;-8.026010958299258E+01;1.043535696809998E+02;
5.757500000000000E+09;-8.016756245145203E+01;-6.716762501342973E+01;
5.765000000000000E+09;-8.002463844431256E+01;1.161845312704859E+02;
5.772500000000000E+09;-8.025050562643690E+01;-5.985562514532650E+01;
5.780000000000000E+09;-7.985771225248118E+01;1.254103295176400E+02;
5.787500000000000E+09;-7.955243520813772E+01;-4.369360098874978E+01;
5.795000000000000E+09;-8.013643085956531E+01;1.338015095647129E+02;
5.802500000000000E+09;-8.013748067750436E+01;-4.053429973581825E+01;
5.810000000000000E+09;-7.985725660291975E+01;1.505119645012327E+02;
5.817500000000000E+09;-7.967748249391816E+01;-2.602413808775591E+01;
5.825000000000000E+09;-8.074276321609312E+01;1.600177075861060E+02;
5.832500000000000E+09;-8.008929376913856E+01;-1.111899320547879E+01;
5.840000000000000E+09;-8.006938841475467E+01;1.716330486012062E+02;
5.847500000000000E+09;-8.053202518664081E+01;-1.787535759542327E+00;
5.855000000000000E+09;-8.002020231304046E+01;-1.777470702063463E+02;
5.862500000000000E+09;-8.001340819098272E+01;1.216744435937244E+01;
5.870000000000000E+09;-8.014275006043819E+01;-1.650161648596326E+02;
5.877500000000000E+09;-8.013546436101103E+01;2.278016638100981E+01;
5.885000000000000E+09;-8.010130834358023E+01;-1.529865819673878E+02;
5.892500000000000E+09;-7.926537468390291E+01;3.130795925961044E+01;
5.900000000000000E+09;-7.959138237199335E+01;-1.405869887340874E+02;
5.907500000000000E+09;-7.904712113976960E+01;4.492791419819368E+01;
5.915000000000000E+09;-8.000983638022223E+01;-1.307171752581878E+02;
5.922500000000000E+09;-8.013929060415721E+01;5.920303515365220E+01;
5.930000000000000E+09;-7.909630566977293E+01;-1.158731626112156E+02;
5.937500000000000E+09;-7.940478307656525E+01;6.509202317194314E+01;
5.945000000000000E+09;-7.955775755500277E+01;-1.072987948695712E+02;
5.952500000000000E+09;-7.907860404233088E+01;7.544683509154352E+01;
5.960000000000000E+09;-7.930761649633970E+01;-9.835476358333908E+01;
5.967500000000000E+09;-7.948230586449908E+01;8.835413918347021E+01;
5.975000000000000E+09;-8.005023525490816E+01;-8.840678464231776E+01;
