# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
5.000000000000000E+09;-8.044484629827684E+01;-1.488280343089847E+02;
5.007500000000000E+09;-8.022347293833823E+01;3.527365684553655E+01;
5.015000000000000E+09;-8.008909576945426E+01;-1.353383687300298E+02;
5.022500000000000E+09;-8.077650191835841E+01;4.797862491249089E+01;
5.030000000000000E+09;-7.955869370120961E+01;-1.257288908432407E+02;
5.037500000000000E+09;-7.974542087658307E+01;6.261470041690129E+01;
5.045000000000000E+09;-7.998454350198475E+01;-1.145765210421996E+02;
5.052500000000000E+09;-7.995171937129180E+01;7.345715417680653E+01;
5.060000000000000E+09;-8.016190626025377E+01;-9.827985675484999E+01;
5.067500000000000E+09;-8.003167943765985E+01;8.356406462613519E+01;
5.075000000000000E+09;-7.997065092269861E+01;-8.873805833272475E+01;
5.082500000000000E+09;-7.992592686500136E+01;9.679663717571864E+01;
5.090000000000000E+09;-8.043284186601008E+01;-7.202674289773240E+01;
5.097500000000000E+09;-7.956738655897183E+01;1.093647912144951E+02;
5.105000000000000E+09;-8.052213173442891E+01;-6.477761068098704E+01;
5.112500000000000E+09;-8.009416648846323E+01;1.219276008272701E+02;
5.120000000000000E+09;-8.055895042406057E+01;-4.977768587469605E+01;
5.127500000000000E+09;-7.996214123222090E+01;1.345185755960494E+02;
5.135000000000000E+09;-8.031185840166967E+01;-4.045711911483919E+01;
5.142500000000000E+09;-8.035098056675848E+01;1.462026758066507E+02;
5.150000000000000E+09;-8.055268911756841E+01;-2.967337241145547E+01;
5.157500000000000E+09;-8.067330058706908E+01;1.591778037980291E+02;
5.165000000000000E+09;-8.056960474305754E+01;-1.437620944983507E+01;
5.172500000000000E+09;-8.078717714214488E+01;1.668913882366460E+02;
5.180000000000000E+09;-8.082023349705833E+01;-2.517809200157826E+00;
5.187500000000000E+09;-8.007194447481046E+01;-1.767517574143320E+02;
5.195000000000000E+09;-8.066930375596677E+01;9.217306895364263E+00;
5.202500000000000E+09;-8.088441878634634E+01;-1.653878090026732E+02;
5.210000000000000E+09;-8.065998897841817E+01;2.237188771433026E+01;
5.217500000000000E+09;-8.053346105702330E+01;-1.561272939070132E+02;
5.225000000000000E+09;-8.133170548755976E+01;3.675597739430357E+01;
5.232500000000000E+09;-8.085342118597084E+01;-1.460059793534524E+02;
5.240000000000000E+09;-8.066475397986983E+01;4.277633935126779E+01;
5.247500000000000E+09;-8.010233037312096E+01;-1.309183972416508E+02;
5.255000000000000E+09;-8.212785322308403E+01;5.575297517378804E+01;
5.262500000000000E+09;-8.169817971220134E+01;-1.164088400814713E+02;
5.270000000000000E+09;-8.088717912318870E+01;6.391467412032878E+01;
5.277500000000000E+09;-8.061462233839821E+01;-1.066299177807442E+02;
5.285000000000000E+09;-8.156187274294081E+01;7.722959735642725E+01;
5.292500000000000E+09;-8.147466681862282E+01;-9.223776247120306E+01;
5.300000000000000E+09;-8.123984873340332E+01;8.653012026171113E+01;
5.307500000000000E+09;-8.161471290386007E+01;-8.106083320067938E+01;
5.315000000000000E+09;-8.090650370455859E+01;1.000248526336111E+02;
5.322500000000000E+09;-8.124887289855194E+01;-6.610760332527558E+01;
5.330000000000000E+09;-8.067353901974015E+01;1.145145438599119E+02;
5.337500000000000E+09;-8.077484387468499E+01;-5.675021440983922E+01;
5.345000000000000E+09;-8.063818550200293E+01;1.269908248538818E+02;
5.352500000000000E+09;-8.191597049408885E+01;-4.629013360657386E+01;
5.360000000000000E+09;-8.159937699795054E+01;1.414956657075226E+02;
5.367500000000000E+09;-8.156229502317755E+01;-3.928063348245191E+01;
5.375000000000000E+09;-8.144288163161953E+01;1.539630655983714E+02;
5.382500000000000E+09;-8.068477661994991E+01;-2.215797839451751E+01;
5.390000000000000E+09;-8.099929922679217E+01;1.635034574392969E+02;
5.397500000000000E+09;-8.152568331413198E+01;-8.185958022951066E+00;
5.405000000000000E+09;-8.095455370513703E+01;1.790200789876567E+02;
5.412500000000000E+09;-8.046355194039201E+01;-2.509295897614124E+00;
5.420000000000000E+09;-8.144489962813530E+01;-1.746243111237317E+02;
5.427500000000000E+09;-8.152043257173884E+01;1.402368176621249E+01;
5.435000000000000E+09;-8.135664018857453E+01;-1.609787738608551E+02;
5.442500000000000E+09;-8.074646151098504E+01;2.520229209930103E+01;
5.450000000000000E+09;-8.044496530595950E+01;-1.507613651236133E+02;
5.457500000000000E+09;-8.078510491025037E+01;2.598008794372115E+01;
5.465000000000000E+09;-8.142897237013511E+01;-1.382903012053135E+02;
5.472500000000000E+09;-8.108305916518452E+01;4.234721505856151E+01;
5.480000000000000E+09;-8.164765967557672E+01;-1.294870651678594E+02;
5.487500000000000E+09;-8.116440009802625E+01;5.725712481071758E+01;
5.495000000000000E+09;-8.180932598576049E+01;-1.204428108199774E+02;
5.502500000000000E+09;-8.118860977222892E+01;6.867099906467423E+01;
5.510000000000000E+09;-8.072094573805701E+01;-1.085661495168093E+02;
5.517500000000000E+09;-8.081705764890671E+01;6.996441432631180E+01;
5.525000000000000E+09;-8.070836835414995E+01;-1.036139410208109E+02;
5.532500000000000E+09;-8.159022533722214E+01;8.353830112638656E+01;
5.540000000000000E+09;-8.087645434938857E+01;-9.455209822890298E+01;
5.547500000000000E+09;-8.104472033718571E+01;8.364788556869875E+01;
5.555000000000000E+09;-8.105645144157239E+01;-9.104453850708330E+01;
5.562500000000000E+09;-8.069434159919575E+01;9.165513275106652E+01;
5.570000000000000E+09;-8.139744911059138E+01;-8.983479046198701E+01;
5.577500000000000E+09;-8.112532862115954E+01;8.352059820242013E+01;
5.585000000000000E+09;-8.177300162725039E+01;-1.139267679895284E+02;
5.592500000000000E+09;-8.291560534751818E+01;4.157923264887504E+01;
5.600000000000000E+09;-8.481055571951400E+01;1.765896293898365E+02;
5.607500000000000E+09;-8.438992172145336E+01;-6.703594510490407E+01;
5.615000000000000E+09;-8.298346813945088E+01;7.354287875908324E+01;
5.622500000000000E+09;-8.086353609020642E+01;-1.128309627276553E+02;
5.630000000000000E+09;-8.093963549622481E+01;4.929173629397042E+01;
5.637500000000000E+09;-8.104731052941894E+01;-1.302043377598953E+02;
5.645000000000000E+09;-8.066969542595588E+01;4.632069562718858E+01;
5.652500000000000E+09;-8.054404113137443E+01;-1.326513391967860E+02;
5.660000000000000E+09;-8.024295756032495E+01;5.328724242813165E+01;
5.667500000000000E+09;-8.019145368164011E+01;-1.297246213818253E+02;
