TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 12:44:18.139552;50; ;-8.94074e-08
2026-08-05 12:44:18.785517;100; ;-1.04309e-07
2026-08-05 12:44:19.453397;150; ;-1.99304e-07
2026-08-05 12:44:20.097550;200; ;-2.55184e-07
2026-08-05 12:44:20.744273;250; ;-4.26548e-07
2026-08-05 12:44:21.410302;300; ;-4.39586e-07
2026-08-05 12:44:22.051176;350; ;-5.36445e-07
2026-08-05 12:44:22.709394;400; ;-6.14677e-07
2026-08-05 12:44:23.358841;450; ;-7.20847e-07
2026-08-05 12:44:24.014633;500; ;-7.28298e-07
2026-08-05 12:44:24.657784;550; ;-7.74864e-07
2026-08-05 12:44:25.303370;600; ;-7.74864e-07
2026-08-05 12:44:25.943092;650; ;-8.08392e-07
2026-08-05 12:44:26.589202;700; ;-7.84177e-07
2026-08-05 12:44:27.245087;750; ;-8.19568e-07
2026-08-05 12:44:27.897521;800; ;-8.51232e-07
2026-08-05 12:44:28.554482;850; ;-8.90348e-07
2026-08-05 12:44:29.218524;900; ;-9.46227e-07
2026-08-05 12:44:29.869830;950; ;-8.81035e-07
2026-08-05 12:44:30.522977;1000; ;-9.6672e-07
2026-08-05 12:44:31.173099;1050; ;-9.07112e-07
2026-08-05 12:44:31.836533;1100; ;-9.33189e-07
2026-08-05 12:44:32.474880;1150; ;-9.92797e-07
2026-08-05 12:44:33.122068;1200; ;-1.04681e-06
2026-08-05 12:44:33.771345;1250; ;-1.06358e-06
2026-08-05 12:44:34.421152;1300; ;-1.04681e-06
2026-08-05 12:44:35.074601;1350; ;-1.03564e-06
2026-08-05 12:44:35.718379;1400; ;-1.06544e-06
2026-08-05 12:44:36.371078;1450; ;-1.06544e-06
2026-08-05 12:44:37.035358;1500; ;-1.0077e-06
2026-08-05 12:44:37.685945;1550; ;-1.05426e-06
2026-08-05 12:44:38.336973;1600; ;-1.07848e-06
2026-08-05 12:44:38.995947;1650; ;-9.57407e-07
2026-08-05 12:44:39.639285;1700; ;-9.10837e-07
2026-08-05 12:44:40.287879;1750; ;-8.40057e-07
2026-08-05 12:44:40.930699;1800; ;-8.64271e-07
2026-08-05 12:44:41.591432;1850; ;-7.9349e-07
2026-08-05 12:44:42.231786;1900; ;-7.00358e-07
2026-08-05 12:44:42.895035;1950; ;-7.33886e-07
2026-08-05 12:44:43.542550;2000; ;-6.44479e-07
2026-08-05 12:44:44.184303;2050; ;-7.30161e-07
2026-08-05 12:44:44.848557;2100; ;-7.32023e-07
2026-08-05 12:44:45.496707;2150; ;-6.91045e-07
2026-08-05 12:44:46.145326;2200; ;-6.78006e-07
2026-08-05 12:44:46.803044;2250; ;-6.09089e-07
2026-08-05 12:44:47.442811;2300; ;-6.83594e-07
2026-08-05 12:44:48.099990;2350; ;-6.72419e-07
2026-08-05 12:44:48.750990;2400; ;-6.03501e-07
2026-08-05 12:44:49.411873;2450; ;-6.16539e-07
2026-08-05 12:44:50.057471;2500; ;-6.16539e-07
2026-08-05 12:44:50.708092;2550; ;-6.61243e-07
2026-08-05 12:44:51.366190;2600; ;-7.18985e-07
2026-08-05 12:44:52.008786;2650; ;-6.5938e-07
2026-08-05 12:44:52.659160;2700; ;-6.89182e-07
2026-08-05 12:44:53.306116;2750; ;-7.20847e-07
2026-08-05 12:44:53.961980;2800; ;-6.48204e-07
2026-08-05 12:44:54.608621;2850; ;-7.39474e-07
2026-08-05 12:44:55.255307;2900; ;-8.2143e-07
2026-08-05 12:44:55.917376;2950; ;-6.66831e-07
2026-08-05 12:44:56.568188;3000; ;-6.8732e-07
2026-08-05 12:44:57.235323;3050; ;-6.81732e-07
2026-08-05 12:44:57.883366;3100; ;-7.61826e-07
2026-08-05 12:44:58.539798;3150; ;-7.8604e-07
2026-08-05 12:44:59.193893;3200; ;-7.41336e-07
2026-08-05 12:44:59.847049;3250; ;-8.7731e-07
2026-08-05 12:45:00.498140;3300; ;-8.4937e-07
2026-08-05 12:45:01.166007;3350; ;-8.25155e-07
2026-08-05 12:45:01.817139;3400; ;-7.80452e-07
2026-08-05 12:45:02.472054;3450; ;-8.8476e-07
