TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 13:29:48.902753;200; ;5.71836e-07
2026-08-05 13:29:50.050887;400; ;6.5938e-07
2026-08-05 13:29:51.207929;600; ;6.66831e-07
2026-08-05 13:29:52.384406;800; ;6.12814e-07
2026-08-05 13:29:53.532867;1000; ;5.71836e-07
2026-08-05 13:29:54.702412;1200; ;5.15956e-07
2026-08-05 13:29:55.852515;1400; ;4.638e-07
2026-08-05 13:29:57.018283;1600; ;4.04196e-07
2026-08-05 13:29:58.165708;1800; ;3.39003e-07
2026-08-05 13:29:59.324705;2000; ;2.86849e-07
2026-08-05 13:30:00.490049;2200; ;2.27244e-07
2026-08-05 13:30:01.636089;2400; ;1.73227e-07
2026-08-05 13:30:02.786107;2600; ;1.7509e-07
2026-08-05 13:30:03.940245;2800; ;1.15484e-07
2026-08-05 13:30:05.094180;3000; ;6.33304e-08
2026-08-05 13:30:06.252291;3200; ;3.53905e-08
2026-08-05 13:30:07.422512;3400; ;3.53905e-08
2026-08-05 13:30:08.570998;3600; ;2.79398e-08
2026-08-05 13:30:09.728096;3800; ;2.60771e-08
2026-08-05 13:30:10.890091;4000; ;4.8429e-08
2026-08-05 13:30:12.041576;4200; ;2.23519e-08
2026-08-05 13:30:13.194132;4400; ;-5.58796e-09
2026-08-05 13:30:14.339899;4600; ;-3.16652e-08
2026-08-05 13:30:15.498414;4800; ;-5.96051e-08
2026-08-05 13:30:16.664158;5000; ;4.09784e-08
2026-08-05 13:30:17.814146;5200; ;-1.67639e-08
2026-08-05 13:30:18.961465;5400; ;-6.5193e-08
2026-08-05 13:30:20.113779;5600; ;-4.8429e-08
2026-08-05 13:30:21.265352;5800; ;-1.67639e-08
2026-08-05 13:30:22.423953;6000; ;-3.72531e-08
2026-08-05 13:30:23.583931;6200; ;-1.86266e-08
2026-08-05 13:30:24.733143;6400; ;-9.31328e-09
2026-08-05 13:30:25.890795;6600; ;-1.86266e-09
2026-08-05 13:30:27.050428;6800; ;1.86266e-09
2026-08-05 13:30:28.210547;7000; ;1.49013e-08
2026-08-05 13:30:29.364137;7200; ;5.58796e-09
2026-08-05 13:30:30.516314;7400; ;-2.04892e-08
2026-08-05 13:30:31.665559;7600; ;-1.49013e-08
2026-08-05 13:30:32.824787;7800; ;-1.11759e-08
2026-08-05 13:30:33.980279;8000; ;4.09784e-08
2026-08-05 13:30:35.132510;8200; ;9.31328e-09
2026-08-05 13:30:36.279933;8400; ;4.28411e-08
2026-08-05 13:30:37.442845;8600; ;1.49013e-08
2026-08-05 13:30:38.594952;8800; ;-1.30386e-08
2026-08-05 13:30:39.744110;9000; ;1.11759e-08
2026-08-05 13:30:40.901911;9200; ;2.23519e-08
2026-08-05 13:30:42.059379;9400; ;-4.28411e-08
2026-08-05 13:30:43.208286;9600; ;-2.23519e-08
2026-08-05 13:30:44.367974;9800; ;1.49013e-08
2026-08-05 13:30:45.524428;10000; ;2.42145e-08
