TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 13:31:43.201792;50; ;4.33998e-07
2026-08-05 13:31:44.353365;100; ;4.35861e-07
2026-08-05 13:31:45.507033;150; ;4.2841e-07
2026-08-05 13:31:46.649655;200; ;5.12231e-07
2026-08-05 13:31:47.809340;250; ;5.94187e-07
2026-08-05 13:31:48.956868;300; ;6.38891e-07
2026-08-05 13:31:50.113849;350; ;7.05946e-07
2026-08-05 13:31:51.269529;400; ;6.46342e-07
2026-08-05 13:31:52.422549;450; ;6.85457e-07
2026-08-05 13:31:53.574352;500; ;7.04084e-07
2026-08-05 13:31:54.729808;550; ;7.65551e-07
2026-08-05 13:31:55.880086;600; ;7.24573e-07
2026-08-05 13:31:57.041011;650; ;7.11534e-07
2026-08-05 13:31:58.193762;700; ;6.8732e-07
2026-08-05 13:31:59.353644;750; ;6.46342e-07
2026-08-05 13:32:00.504951;800; ;5.9605e-07
2026-08-05 13:32:01.657083;850; ;5.47621e-07
2026-08-05 13:32:02.809811;900; ;5.28995e-07
2026-08-05 13:32:03.959675;950; ;4.9733e-07
2026-08-05 13:32:05.108016;1000; ;4.60075e-07
2026-08-05 13:32:06.267293;1050; ;4.50762e-07
2026-08-05 13:32:07.422282;1100; ;4.41449e-07
2026-08-05 13:32:08.577380;1150; ;4.93605e-07
2026-08-05 13:32:09.734311;1200; ;4.52625e-07
2026-08-05 13:32:10.889276;1250; ;3.98608e-07
2026-08-05 13:32:12.054440;1300; ;3.25965e-07
2026-08-05 13:32:13.205660;1350; ;3.46454e-07
2026-08-05 13:32:14.350215;1400; ;3.63218e-07
2026-08-05 13:32:15.502431;1450; ;3.40866e-07
2026-08-05 13:32:16.663047;1500; ;3.16651e-07
2026-08-05 13:32:17.822114;1550; ;3.09201e-07
2026-08-05 13:32:18.966906;1600; ;3.09201e-07
2026-08-05 13:32:20.128529;1650; ;3.24102e-07
2026-08-05 13:32:21.280416;1700; ;2.90574e-07
2026-08-05 13:32:22.449241;1750; ;2.86849e-07
2026-08-05 13:32:23.595674;1800; ;2.12342e-07
2026-08-05 13:32:24.747970;1850; ;2.40283e-07
2026-08-05 13:32:25.905555;1900; ;1.95579e-07
2026-08-05 13:32:27.056353;1950; ;2.16068e-07
2026-08-05 13:32:28.211290;2000; ;2.58909e-07
2026-08-05 13:32:29.362445;2050; ;2.27244e-07
2026-08-05 13:32:30.515209;2100; ;2.04892e-07
2026-08-05 13:32:31.666120;2150; ;1.8254e-07
2026-08-05 13:32:32.830761;2200; ;1.58326e-07
2026-08-05 13:32:33.981932;2250; ;1.7509e-07
2026-08-05 13:32:35.129645;2300; ;1.546e-07
2026-08-05 13:32:36.291617;2350; ;1.26661e-07
2026-08-05 13:32:37.442434;2400; ;1.09897e-07
2026-08-05 13:32:38.615196;2450; ;1.41562e-07
2026-08-05 13:32:39.770865;2500; ;1.41562e-07
2026-08-05 13:32:40.928044;2550; ;1.67639e-07
2026-08-05 13:32:42.083640;2600; ;1.34111e-07
2026-08-05 13:32:43.240892;2650; ;1.26661e-07
2026-08-05 13:32:44.401010;2700; ;7.82316e-08
2026-08-05 13:32:45.564744;2750; ;8.38195e-08
2026-08-05 13:32:46.716593;2800; ;9.6858e-08
2026-08-05 13:32:47.871619;2850; ;1.26661e-07
2026-08-05 13:32:49.033884;2900; ;1.08034e-07
2026-08-05 13:32:50.191374;2950; ;8.38195e-08
2026-08-05 13:32:51.344861;3000; ;3.16652e-08
2026-08-05 13:32:52.501370;3050; ;-1.30386e-08
2026-08-05 13:32:53.660442;3100; ;1.49013e-08
2026-08-05 13:32:54.821595;3150; ;1.11759e-08
2026-08-05 13:32:55.973703;3200; ;1.49013e-08
2026-08-05 13:32:57.147028;3250; ;3.53905e-08
2026-08-05 13:32:58.291652;3300; ;1.30386e-08
2026-08-05 13:32:59.452169;3350; ;7.45064e-09
2026-08-05 13:33:00.600498;3400; ;1.49013e-08
2026-08-05 13:33:01.752886;3450; ;5.58796e-09
2026-08-05 13:33:02.916227;3500; ;6.70557e-08
2026-08-05 13:33:04.080169;3550; ;5.58796e-08
2026-08-05 13:33:05.227774;3600; ;1.11759e-08
2026-08-05 13:33:06.390633;3650; ;-2.23519e-08
2026-08-05 13:33:07.558763;3700; ;-4.09784e-08
2026-08-05 13:33:08.710399;3750; ;-1.67639e-08
2026-08-05 13:33:09.868651;3800; ;-5.58796e-09
2026-08-05 13:33:11.014221;3850; ;-5.58796e-09
2026-08-05 13:33:12.170921;3900; ;2.42145e-08
2026-08-05 13:33:13.320746;3950; ;1.86266e-09
