TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 13:37:27.647913;50; ;1.15484e-07
2026-08-05 13:37:28.798307;250; ;1.08034e-07
2026-08-05 13:37:29.954246;450; ;9.31327e-08
2026-08-05 13:37:31.100006;650; ;5.02916e-08
2026-08-05 13:37:32.253759;850; ;-4.09784e-08
2026-08-05 13:37:33.415929;1050; ;-5.77422e-08
2026-08-05 13:37:34.575157;1250; ;1.86266e-08
2026-08-05 13:37:35.733232;1450; ;1.91853e-07
2026-08-05 13:37:36.888394;1650; ;3.16651e-07
2026-08-05 13:37:38.040384;1850; ;3.27827e-07
2026-08-05 13:37:39.192475;2050; ;2.42146e-07
2026-08-05 13:37:40.345200;2250; ;1.15484e-07
2026-08-05 13:37:41.488820;2450; ;2.98025e-08
2026-08-05 13:37:42.646033;2650; ;7.45064e-09
2026-08-05 13:37:43.793864;2850; ;-9.31328e-09
2026-08-05 13:37:44.942091;3050; ;2.42145e-08
2026-08-05 13:37:46.100549;3250; ;4.65664e-08
2026-08-05 13:37:47.252019;3450; ;0.0
2026-08-05 13:37:48.405611;3650; ;-1.86266e-09
2026-08-05 13:37:49.565273;3850; ;-1.49013e-08
2026-08-05 13:37:50.718267;4050; ;-2.60771e-08
2026-08-05 13:37:51.878730;4250; ;-1.49013e-08
2026-08-05 13:37:53.027205;4450; ;-1.30386e-08
2026-08-05 13:37:54.177635;4650; ;-1.30386e-08
2026-08-05 13:37:55.335109;4850; ;2.04892e-08
2026-08-05 13:37:56.489216;5050; ;2.60771e-08
2026-08-05 13:37:57.632039;5250; ;9.31328e-09
