TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 13:36:06.715924;50; ;2.77536e-07
2026-08-05 13:36:07.862504;250; ;3.96745e-07
2026-08-05 13:36:09.021842;450; ;6.2399e-07
2026-08-05 13:36:10.205452;650; ;7.17122e-07
2026-08-05 13:36:11.369300;850; ;6.8732e-07
2026-08-05 13:36:12.559194;1050; ;5.19682e-07
2026-08-05 13:36:13.724976;1250; ;3.63218e-07
2026-08-05 13:36:14.886157;1450; ;2.23518e-07
2026-08-05 13:36:16.042274;1650; ;1.21073e-07
2026-08-05 13:36:17.197915;1850; ;1.13622e-07
2026-08-05 13:36:18.347157;2050; ;1.02446e-07
2026-08-05 13:36:19.510318;2250; ;9.31327e-08
2026-08-05 13:36:20.656717;2450; ;1.08034e-07
2026-08-05 13:36:21.808159;2650; ;1.26661e-07
2026-08-05 13:36:22.966852;2850; ;1.37837e-07
2026-08-05 13:36:24.131988;3050; ;1.34111e-07
2026-08-05 13:36:25.271574;3250; ;1.58326e-07
2026-08-05 13:36:26.440543;3450; ;1.41562e-07
