TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 13:23:30.803715;50; ;9.31327e-08
2026-08-05 13:23:31.956563;250; ;6.33304e-08
2026-08-05 13:23:33.116999;450; ;0.0
2026-08-05 13:23:34.275169;650; ;1.86266e-09
2026-08-05 13:23:35.438901;850; ;-7.45064e-09
2026-08-05 13:23:36.578644;1050; ;0.0
2026-08-05 13:23:37.745212;1250; ;-1.86266e-08
2026-08-05 13:23:38.890723;1450; ;2.98025e-08
2026-08-05 13:23:40.054817;1650; ;1.43425e-07
2026-08-05 13:23:41.207194;1850; ;2.64497e-07
2026-08-05 13:23:42.367121;2050; ;4.06058e-07
2026-08-05 13:23:43.522434;2250; ;4.60075e-07
2026-08-05 13:23:44.677456;2450; ;3.94883e-07
2026-08-05 13:23:45.822820;2650; ;2.77536e-07
2026-08-05 13:23:46.978969;2850; ;1.69502e-07
2026-08-05 13:23:48.139245;3050; ;3.72531e-08
2026-08-05 13:23:49.302536;3250; ;-4.8429e-08
2026-08-05 13:23:50.449139;3450; ;-6.33304e-08
2026-08-05 13:23:51.609981;3650; ;-8.56821e-08
2026-08-05 13:23:52.765796;3850; ;-8.19568e-08
2026-08-05 13:23:53.920631;4050; ;-5.58796e-08
2026-08-05 13:23:55.065558;4250; ;-7.63689e-08
2026-08-05 13:23:56.226221;4450; ;-9.31327e-08
2026-08-05 13:23:57.379670;4650; ;-7.45063e-08
2026-08-05 13:23:58.544329;4850; ;-6.5193e-08
2026-08-05 13:23:59.708739;5050; ;-5.58796e-08
2026-08-05 13:24:00.869384;5250; ;-6.5193e-08
2026-08-05 13:24:02.024456;5450; ;-6.70557e-08
2026-08-05 13:24:03.180337;5650; ;-6.70557e-08
2026-08-05 13:24:04.332784;5850; ;-5.40169e-08
2026-08-05 13:24:05.495740;6050; ;-3.72531e-08
