TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 12:46:50.637968;50; ;-1.11759e-07
2026-08-05 12:46:51.283045;100; ;-2.68223e-07
2026-08-05 12:46:51.935198;150; ;-4.32135e-07
2026-08-05 12:46:52.585655;200; ;-6.20264e-07
2026-08-05 12:46:53.246181;250; ;-7.8604e-07
2026-08-05 12:46:53.889634;300; ;-9.36914e-07
2026-08-05 12:46:54.537878;350; ;-1.09338e-06
2026-08-05 12:46:55.179681;400; ;-1.17161e-06
2026-08-05 12:46:55.837924;450; ;-1.36346e-06
2026-08-05 12:46:56.490428;500; ;-1.45473e-06
2026-08-05 12:46:57.140837;550; ;-1.68198e-06
2026-08-05 12:46:57.800217;600; ;-1.68756e-06
2026-08-05 12:46:58.462011;650; ;-1.73972e-06
2026-08-05 12:46:59.110215;700; ;-1.86824e-06
2026-08-05 12:46:59.755538;750; ;-2.02471e-06
2026-08-05 12:47:00.405507;800; ;-1.99491e-06
2026-08-05 12:47:01.056445;850; ;-1.96138e-06
2026-08-05 12:47:01.714381;900; ;-1.885e-06
2026-08-05 12:47:02.374479;950; ;-1.8701e-06
2026-08-05 12:47:03.039931;1000; ;-1.68011e-06
2026-08-05 12:47:03.684260;1050; ;-1.52179e-06
2026-08-05 12:47:04.334895;1100; ;-1.32994e-06
2026-08-05 12:47:04.983667;1150; ;-1.26847e-06
2026-08-05 12:47:05.631096;1200; ;-1.13063e-06
2026-08-05 12:47:06.284453;1250; ;-1.15671e-06
2026-08-05 12:47:06.929154;1300; ;-1.00397e-06
2026-08-05 12:47:07.587044;1350; ;-9.76033e-07
2026-08-05 12:47:08.237383;1400; ;-9.07112e-07
2026-08-05 12:47:08.899981;1450; ;-8.95936e-07
2026-08-05 12:47:09.552749;1500; ;-9.2015e-07
2026-08-05 12:47:10.207955;1550; ;-9.05249e-07
2026-08-05 12:47:10.845442;1600; ;-9.38777e-07
2026-08-05 12:47:11.496237;1650; ;-8.60546e-07
2026-08-05 12:47:12.148372;1700; ;-9.90934e-07
2026-08-05 12:47:12.805490;1750; ;-1.03191e-06
2026-08-05 12:47:13.457365;1800; ;-1.05985e-06
2026-08-05 12:47:14.102604;1850; ;-1.1623e-06
2026-08-05 12:47:14.738140;1900; ;-1.22935e-06
2026-08-05 12:47:15.406080;1950; ;-1.21818e-06
2026-08-05 12:47:16.055778;2000; ;-1.38768e-06
2026-08-05 12:47:16.707077;2050; ;-1.42679e-06
2026-08-05 12:47:17.351895;2100; ;-1.4715e-06
2026-08-05 12:47:17.997844;2150; ;-1.48454e-06
2026-08-05 12:47:18.670772;2200; ;-1.63168e-06
2026-08-05 12:47:19.328822;2250; ;-1.71923e-06
2026-08-05 12:47:19.988113;2300; ;-1.83844e-06
2026-08-05 12:47:20.638329;2350; ;-1.85334e-06
2026-08-05 12:47:21.290378;2400; ;-1.86638e-06
2026-08-05 12:47:21.946484;2450; ;-1.84961e-06
2026-08-05 12:47:22.595462;2500; ;-1.83658e-06
2026-08-05 12:47:23.247153;2550; ;-1.74158e-06
2026-08-05 12:47:23.894178;2600; ;-1.66335e-06
2026-08-05 12:47:24.554503;2650; ;-1.57953e-06
2026-08-05 12:47:25.215254;2700; ;-1.4566e-06
2026-08-05 12:47:25.868277;2750; ;-1.3318e-06
2026-08-05 12:47:26.522336;2800; ;-1.20886e-06
2026-08-05 12:47:27.183152;2850; ;-1.18279e-06
2026-08-05 12:47:27.825906;2900; ;-1.17534e-06
2026-08-05 12:47:28.477443;2950; ;-1.14181e-06
2026-08-05 12:47:29.127794;3000; ;-1.05054e-06
2026-08-05 12:47:29.778727;3050; ;-1.1474e-06
2026-08-05 12:47:30.433704;3100; ;-1.11014e-06
2026-08-05 12:47:31.086688;3150; ;-1.09524e-06
2026-08-05 12:47:31.734554;3200; ;-1.08407e-06
2026-08-05 12:47:32.380760;3250; ;-1.09897e-06
2026-08-05 12:47:33.031639;3300; ;-1.14181e-06
2026-08-05 12:47:33.681411;3350; ;-1.15485e-06
2026-08-05 12:47:34.335252;3400; ;-1.27964e-06
2026-08-05 12:47:35.004200;3450; ;-1.32249e-06
2026-08-05 12:47:35.659584;3500; ;-1.35788e-06
2026-08-05 12:47:36.314424;3550; ;-1.3318e-06
2026-08-05 12:47:36.973230;3600; ;-1.42493e-06
2026-08-05 12:47:37.624627;3650; ;-1.35601e-06
2026-08-05 12:47:38.290894;3700; ;-1.48454e-06
2026-08-05 12:47:38.937997;3750; ;-1.67825e-06
2026-08-05 12:47:39.597160;3800; ;-1.63168e-06
2026-08-05 12:47:40.240577;3850; ;-1.72295e-06
2026-08-05 12:47:40.900568;3900; ;-1.75834e-06
2026-08-05 12:47:41.550760;3950; ;-1.77511e-06
2026-08-05 12:47:42.207907;4000; ;-1.84775e-06
2026-08-05 12:47:42.868656;4050; ;-1.78628e-06
2026-08-05 12:47:43.518910;4100; ;-1.74903e-06
2026-08-05 12:47:44.182142;4150; ;-1.76021e-06
2026-08-05 12:47:44.822971;4200; ;-1.68384e-06
2026-08-05 12:47:45.475062;4250; ;-1.55904e-06
2026-08-05 12:47:46.145243;4300; ;-1.55345e-06
2026-08-05 12:47:46.786272;4350; ;-1.43238e-06
2026-08-05 12:47:47.451794;4400; ;-1.3467e-06
2026-08-05 12:47:48.106299;4450; ;-1.30758e-06
2026-08-05 12:47:48.768704;4500; ;-1.19396e-06
2026-08-05 12:47:49.433624;4550; ;-1.20141e-06
2026-08-05 12:47:50.083021;4600; ;-1.2517e-06
2026-08-05 12:47:50.741666;4650; ;-1.27592e-06
2026-08-05 12:47:51.403167;4700; ;-1.30013e-06
2026-08-05 12:47:52.056350;4750; ;-1.25543e-06
2026-08-05 12:47:52.705420;4800; ;-1.21259e-06
2026-08-05 12:47:53.371278;4850; ;-1.13436e-06
2026-08-05 12:47:54.039894;4900; ;-1.31503e-06
