TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 12:37:43.448893;50; ;-1.84403e-07
2026-08-05 12:37:44.161623;100; ;-5.3272e-07
2026-08-05 12:37:44.855439;150; ;-9.46227e-07
2026-08-05 12:37:45.556821;200; ;-1.25357e-06
2026-08-05 12:37:46.251584;250; ;-1.58139e-06
2026-08-05 12:37:46.937285;300; ;-1.79746e-06
2026-08-05 12:37:47.640479;350; ;-2.06755e-06
2026-08-05 12:37:48.313387;400; ;-2.29666e-06
2026-08-05 12:37:48.994601;450; ;-2.45312e-06
2026-08-05 12:37:49.659937;500; ;-2.58723e-06
2026-08-05 12:37:50.334971;550; ;-2.58909e-06
2026-08-05 12:37:51.029011;600; ;-2.39538e-06
2026-08-05 12:37:51.733793;650; ;-2.19794e-06
2026-08-05 12:37:52.402628;700; ;-1.83844e-06
2026-08-05 12:37:53.049029;750; ;-1.66335e-06
2026-08-05 12:37:53.693706;800; ;-1.43797e-06
2026-08-05 12:37:54.348257;850; ;-1.30758e-06
2026-08-05 12:37:55.000085;900; ;-1.24984e-06
2026-08-05 12:37:55.657226;950; ;-1.20328e-06
2026-08-05 12:37:56.310094;1000; ;-1.18092e-06
2026-08-05 12:37:56.964429;1050; ;-1.18465e-06
2026-08-05 12:37:57.610214;1100; ;-1.27592e-06
2026-08-05 12:37:58.264835;1150; ;-1.41189e-06
2026-08-05 12:37:58.918851;1200; ;-1.52179e-06
2026-08-05 12:37:59.567313;1250; ;-1.65217e-06
2026-08-05 12:38:00.211720;1300; ;-1.75462e-06
2026-08-05 12:38:00.866992;1350; ;-1.83658e-06
2026-08-05 12:38:01.516669;1400; ;-1.96697e-06
2026-08-05 12:38:02.175384;1450; ;-2.0601e-06
2026-08-05 12:38:02.809135;1500; ;-2.17372e-06
2026-08-05 12:38:03.460930;1550; ;-2.33577e-06
2026-08-05 12:38:04.110030;1600; ;-2.34508e-06
2026-08-05 12:38:04.752257;1650; ;-2.30038e-06
2026-08-05 12:38:05.406516;1700; ;-2.20352e-06
2026-08-05 12:38:06.045877;1750; ;-2.02844e-06
2026-08-05 12:38:06.702953;1800; ;-1.80864e-06
2026-08-05 12:38:07.354129;1850; ;-1.8254e-06
2026-08-05 12:38:08.019085;1900; ;-1.59443e-06
2026-08-05 12:38:08.665338;1950; ;-1.50875e-06
2026-08-05 12:38:09.317852;2000; ;-1.4864e-06
2026-08-05 12:38:09.962862;2050; ;-1.49944e-06
2026-08-05 12:38:10.614007;2100; ;-1.55532e-06
2026-08-05 12:38:11.265210;2150; ;-1.65776e-06
2026-08-05 12:38:11.921449;2200; ;-1.56277e-06
2026-08-05 12:38:12.569282;2250; ;-1.69874e-06
2026-08-05 12:38:13.211494;2300; ;-1.78628e-06
2026-08-05 12:38:13.875295;2350; ;-1.83658e-06
2026-08-05 12:38:14.514074;2400; ;-1.83844e-06
2026-08-05 12:38:15.160947;2450; ;-1.98001e-06
2026-08-05 12:38:15.811430;2500; ;-2.075e-06
2026-08-05 12:38:16.466701;2550; ;-2.12902e-06
2026-08-05 12:38:17.117688;2600; ;-2.35999e-06
2026-08-05 12:38:17.763675;2650; ;-2.31156e-06
2026-08-05 12:38:18.422709;2700; ;-2.30969e-06
2026-08-05 12:38:19.075869;2750; ;-2.28734e-06
2026-08-05 12:38:19.726562;2800; ;-2.17e-06
2026-08-05 12:38:20.368224;2850; ;-2.09177e-06
2026-08-05 12:38:21.015945;2900; ;-1.91668e-06
2026-08-05 12:38:21.669719;2950; ;-1.80677e-06
2026-08-05 12:38:22.327258;3000; ;-1.73599e-06
2026-08-05 12:38:22.987218;3050; ;-1.63355e-06
2026-08-05 12:38:23.647612;3100; ;-1.641e-06
2026-08-05 12:38:24.287203;3150; ;-1.6112e-06
2026-08-05 12:38:24.932899;3200; ;-1.69688e-06
2026-08-05 12:38:25.593907;3250; ;-1.75834e-06
2026-08-05 12:38:26.236435;3300; ;-1.85148e-06
2026-08-05 12:38:26.890441;3350; ;-1.90177e-06
2026-08-05 12:38:27.537372;3400; ;-2.02098e-06
2026-08-05 12:38:28.181305;3450; ;-1.98001e-06
2026-08-05 12:38:28.839707;3500; ;-2.04334e-06
2026-08-05 12:38:29.508471;3550; ;-2.11412e-06
2026-08-05 12:38:30.153102;3600; ;-2.22401e-06
2026-08-05 12:38:30.812206;3650; ;-2.27803e-06
2026-08-05 12:38:31.454201;3700; ;-2.40096e-06
2026-08-05 12:38:32.116936;3750; ;-2.42145e-06
2026-08-05 12:38:32.758641;3800; ;-2.3246e-06
2026-08-05 12:38:33.411869;3850; ;-2.2743e-06
2026-08-05 12:38:34.076021;3900; ;-2.14951e-06
2026-08-05 12:38:34.739683;3950; ;-2.02844e-06
2026-08-05 12:38:35.404050;4000; ;-1.93717e-06
2026-08-05 12:38:36.064144;4050; ;-1.90177e-06
2026-08-05 12:38:36.720716;4100; ;-1.89432e-06
2026-08-05 12:38:37.373981;4150; ;-1.83844e-06
2026-08-05 12:38:38.026270;4200; ;-1.8105e-06
2026-08-05 12:38:38.687794;4250; ;-1.79746e-06
2026-08-05 12:38:39.360622;4300; ;-1.89059e-06
2026-08-05 12:38:40.012649;4350; ;-1.93903e-06
2026-08-05 12:38:40.667738;4400; ;-1.84589e-06
2026-08-05 12:38:41.335873;4450; ;-1.82726e-06
2026-08-05 12:38:41.999814;4500; ;-1.98187e-06
2026-08-05 12:38:42.661304;4550; ;-2.08431e-06
2026-08-05 12:38:43.320677;4600; ;-2.32832e-06
2026-08-05 12:38:43.976499;4650; ;-2.32832e-06
2026-08-05 12:38:44.640580;4700; ;-2.39538e-06
2026-08-05 12:38:45.296193;4750; ;-2.5239e-06
2026-08-05 12:38:45.939467;4800; ;-2.58164e-06
2026-08-05 12:38:46.608551;4850; ;-2.58164e-06
2026-08-05 12:38:47.266359;4900; ;-2.51086e-06
2026-08-05 12:38:47.929538;4950; ;-2.39351e-06
2026-08-05 12:38:48.579282;5000; ;-2.28548e-06
2026-08-05 12:38:49.233287;5050; ;-2.18676e-06
2026-08-05 12:38:49.889578;5100; ;-2.11225e-06
2026-08-05 12:38:50.550248;5150; ;-2.14764e-06
2026-08-05 12:38:51.213623;5200; ;-2.06755e-06
2026-08-05 12:38:51.876142;5250; ;-2.06941e-06
2026-08-05 12:38:52.536618;5300; ;-2.09177e-06
2026-08-05 12:38:53.199333;5350; ;-2.11598e-06
2026-08-05 12:38:53.865905;5400; ;-2.11784e-06
2026-08-05 12:38:54.519821;5450; ;-2.21097e-06
2026-08-05 12:38:55.179770;5500; ;-2.20352e-06
2026-08-05 12:38:55.845623;5550; ;-2.26872e-06
2026-08-05 12:38:56.508963;5600; ;-2.30597e-06
2026-08-05 12:38:57.158209;5650; ;-2.30038e-06
2026-08-05 12:38:57.820727;5700; ;-2.49596e-06
2026-08-05 12:38:58.479370;5750; ;-2.51272e-06
2026-08-05 12:38:59.138364;5800; ;-2.64497e-06
2026-08-05 12:38:59.799829;5850; ;-2.67664e-06
2026-08-05 12:39:00.459517;5900; ;-2.73251e-06
2026-08-05 12:39:01.111102;5950; ;-2.67105e-06
2026-08-05 12:39:01.775857;6000; ;-2.56488e-06
2026-08-05 12:39:02.434529;6050; ;-2.43263e-06
2026-08-05 12:39:03.099112;6100; ;-2.39538e-06
2026-08-05 12:39:03.753716;6150; ;-2.36557e-06
2026-08-05 12:39:04.412342;6200; ;-2.2445e-06
2026-08-05 12:39:05.063930;6250; ;-2.09922e-06
2026-08-05 12:39:05.728545;6300; ;-2.17558e-06
2026-08-05 12:39:06.380424;6350; ;-2.27058e-06
2026-08-05 12:39:07.035902;6400; ;-2.3395e-06
2026-08-05 12:39:07.682236;6450; ;-2.33391e-06
2026-08-05 12:39:08.345440;6500; ;-2.40283e-06
2026-08-05 12:39:08.996661;6550; ;-2.41028e-06
2026-08-05 12:39:09.637298;6600; ;-2.42145e-06
2026-08-05 12:39:10.299335;6650; ;-2.53321e-06
2026-08-05 12:39:10.939821;6700; ;-2.51645e-06
2026-08-05 12:39:11.607740;6750; ;-2.63007e-06
2026-08-05 12:39:12.263410;6800; ;-2.6636e-06
2026-08-05 12:39:12.916597;6850; ;-2.75487e-06
2026-08-05 12:39:13.576240;6900; ;-2.79212e-06
2026-08-05 12:39:14.236448;6950; ;-2.93182e-06
2026-08-05 12:39:14.898964;7000; ;-2.92996e-06
2026-08-05 12:39:15.550179;7050; ;-2.83496e-06
2026-08-05 12:39:16.213350;7100; ;-2.65428e-06
2026-08-05 12:39:16.869504;7150; ;-2.6934e-06
2026-08-05 12:39:17.522509;7200; ;-2.59282e-06
2026-08-05 12:39:18.178268;7250; ;-2.51645e-06
2026-08-05 12:39:18.846960;7300; ;-2.4941e-06
2026-08-05 12:39:19.495594;7350; ;-2.48851e-06
2026-08-05 12:39:20.163706;7400; ;-2.42332e-06
2026-08-05 12:39:20.810917;7450; ;-2.61889e-06
2026-08-05 12:39:21.473302;7500; ;-2.65242e-06
2026-08-05 12:39:22.144078;7550; ;-2.64497e-06
2026-08-05 12:39:22.802228;7600; ;-2.69899e-06
2026-08-05 12:39:23.463063;7650; ;-2.85172e-06
2026-08-05 12:39:24.121313;7700; ;-2.8331e-06
2026-08-05 12:39:24.779279;7750; ;-2.92996e-06
2026-08-05 12:39:25.445196;7800; ;-2.89084e-06
2026-08-05 12:39:26.099194;7850; ;-2.87408e-06
2026-08-05 12:39:26.771408;7900; ;-3.01936e-06
2026-08-05 12:39:27.420479;7950; ;-3.10877e-06
